COTU_ID	Sample1	Sample2	NO_of_Seqs	Kingdom	Phylum	Class	Order	Family	Genus
COTU-TEST-0029	35	64	1	Bacteria(1.0)	Firmicutes(1.0)	Bacilli(1.0)	Lactobacillales(1.0)	Lactobacillaceae(1.0)	Lactobacillus(1.0)
COTU-TEST-0030	9	12	1	Bacteria(1.0)	Firmicutes(1.0)	Bacilli(1.0)	Lactobacillales(1.0)	Lactobacillaceae(1.0)	Lactobacillus(0.99)
COTU-TEST-0031	7	7	1	Bacteria(1.0)	Firmicutes(1.0)	Bacilli(1.0)	Lactobacillales(1.0)	Lactobacillaceae(1.0)	Lactobacillus(1.0)
COTU-TEST-0032	22	30	1	Bacteria(1.0)	Firmicutes(1.0)	Bacilli(1.0)	Lactobacillales(1.0)	Lactobacillaceae(1.0)	Lactobacillus(1.0)
COTU-TEST-0033	11	5	1	Bacteria(1.0)	Firmicutes(0.97)	Clostridia(0.96)	Clostridiales(0.96)	Lachnospiraceae(0.95)	Marvinbryantia(0.62)
COTU-TEST-0034	9	38	1	Bacteria(1.0)	Actinobacteria(1.0)	Actinobacteria(1.0)	Bifidobacteriales(1.0)	Bifidobacteriaceae(1.0)	Bifidobacterium(1.0)
COTU-TEST-0035	0	14	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(1.0)	Robinsoniella(0.29)
COTU-TEST-0036	10	5	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(1.0)	ClostridiumXlVb(1.0)
COTU-TEST-0037	9	9	1	Bacteria(1.0)	Firmicutes(0.97)	Negativicutes(0.4)	Selenomonadales(0.4)	Veillonellaceae(0.4)	Anaerosinus(0.09)
COTU-TEST-0038	1	8	1	Bacteria(1.0)	Actinobacteria(1.0)	Actinobacteria(1.0)	Coriobacteriales(1.0)	Coriobacteriaceae(1.0)	Enterorhabdus(1.0)
COTU-TEST-0039	6	14	1	Bacteria(1.0)	Actinobacteria(1.0)	Actinobacteria(1.0)	Coriobacteriales(1.0)	Coriobacteriaceae(1.0)	Enterorhabdus(1.0)
COTU-TEST-0040	8	18	1	Bacteria(1.0)	Actinobacteria(1.0)	Actinobacteria(1.0)	Coriobacteriales(1.0)	Coriobacteriaceae(1.0)	Enterorhabdus(0.71)
